grid rect: (886, 266) 631x523
slot 0,0: occupied=true icon-candidates [("LazyDragon_Electric", 0.8099406), ("Gorilla_Ground", 0.5572703), ("SmallArmadillo", 0.53331506)]
slot 1,1: species="ThunderBird" score=1.000 gender=Some(Male) passives=["ElementResist_Thunder_1_PAL"] [ocr=111ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 1,2: species="ThunderBird" score=1.000 gender=Some(Male) passives=["Nocturnal"] [ocr=109ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 1,3: species="GhostAnglerfish" score=1.000 gender=Some(Male) passives=["ElementResist_Leaf_1_PAL"] [ocr=112ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 1,4: species="GhostAnglerfish" score=1.000 gender=Some(Male) passives=["TrainerWorkSpeed_UP_1"] [ocr=114ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 1,5: species="GhostAnglerfish_Fire" score=0.923 gender=Some(Male) passives=["WorkSuitabilityAddRank_MonsterFarm_2"] [ocr=113ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 2,0: species="ThunderDog" score=1.000 gender=Some(Male) passives=["ReloadSpeedUp_Passive"] [ocr=119ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 2,1: species="DarkScorpion" score=1.000 gender=Some(Female) passives=[] [ocr=100ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 2,2: species="DarkScorpion" score=1.000 gender=Some(Male) passives=["Deffence_up1"] [ocr=108ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 2,3: species="DarkScorpion" score=1.000 gender=Some(Female) passives=["PlayerSP_DecreaseRate_Passive", "ElementResist_Normal_1_PAL"] [ocr=124ms/2 hits=0 synth=0ms/0 textlib=0.3ms/2]
slot 2,4: species="DarkScorpion" score=1.000 gender=Some(Female) passives=["SelfDeathAddItemDrop_up_3"] [ocr=112ms/2 hits=0 synth=0ms/0 textlib=0.3ms/2]
slot 2,5: species="DarkScorpion" score=1.000 gender=Some(Female) passives=["ElementBoost_Thunder_1_PAL"] [ocr=106ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 3,0: species="DarkScorpion" score=1.000 gender=Some(Male) passives=["ElementResist_Dragon_1_PAL", "PAL_Sanity_Down_3"] [ocr=124ms/2 hits=0 synth=0ms/0 textlib=0.3ms/2]
slot 3,1: species="CactusDoll" score=1.000 gender=Some(Male) passives=["TrainerWorkSpeed_UP_1", "SwimSpeed_up_1"] [ocr=123ms/2 hits=0 synth=0ms/0 textlib=0.3ms/2]
slot 3,2: species="CactusDoll" score=1.000 gender=Some(Male) passives=["Noukin"] [ocr=108ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 3,3: species="CactusDoll" score=1.000 gender=Some(Male) passives=["PAL_ALLAttack_up2"] [ocr=115ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 3,4: species="GrassPanda" score=1.000 gender=Some(Female) passives=["PAL_Sanity_Up_1"] [ocr=108ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 3,5: species="GrassPanda" score=1.000 gender=Some(Male) passives=["PAL_CorporateSlave"] [ocr=110ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 4,0: species="GrassPanda_Electric" score=1.000 gender=Some(Male) passives=["Noukin"] [ocr=109ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 4,1: species="RedArmorBird" score=1.000 gender=Some(Male) passives=["PAL_FullStomach_Down_1"] [ocr=105ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 4,2: species="RedArmorBird" score=1.000 gender=Some(Male) passives=["SalePrice_Up_1"] [ocr=116ms/2 hits=0 synth=0ms/0 textlib=0.3ms/2]
slot 4,3: species="RedArmorBird" score=1.000 gender=Some(Male) passives=["PAL_CorporateSlave"] [ocr=108ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 4,4: species="RedArmorBird" score=1.000 gender=Some(Female) passives=["CraftSpeed_up2"] [ocr=121ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 4,5: species="VolcanoDragon" score=1.000 gender=Some(Female) passives=["SwimSpeed_up_2"] [ocr=112ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
