grid rect: (886, 266) 631x523
slot 0,0: occupied=true icon-candidates [("ColorfulBird", 0.67000514), ("Kirin", 0.45897263), ("VenusFlytrap", 0.4080089)]
slot 2,4: occupied=true icon-candidates [("LittleBriarRose", 0.83149004), ("LavaGirl", 0.6452615), ("YakushimaMonster001_Red", 0.64216936)]
slot 2,5: occupied=true icon-candidates [("LittleBriarRose", 0.8292422), ("LavaGirl", 0.64862245), ("YakushimaMonster001_Red", 0.6473344)]
slot 3,0: occupied=true icon-candidates [("CuteButterfly", 0.75735974), ("MonochromeQueen", 0.6106872), ("IceSeal_Ground", 0.5683941)]
slot 3,1: occupied=true icon-candidates [("CuteButterfly", 0.6917473), ("MonochromeQueen", 0.5769893), ("Boar", 0.56328535)]
slot 3,2: occupied=true icon-candidates [("CuteButterfly", 0.67411095), ("Boar", 0.5688531), ("MonochromeQueen", 0.5684425)]
slot 3,3: occupied=true icon-candidates [("CuteButterfly", 0.6690489), ("SmallArmadillo", 0.5722553), ("Boar", 0.56644243)]
slot 3,4: occupied=true icon-candidates [("FairyDragon", 0.61982924), ("MysteryMask", 0.47326398), ("BlueDragon", 0.45399365)]
slot 3,5: occupied=true icon-candidates [("BirdDragon", 0.7925687), ("DarkCrow", 0.5524629), ("MonochromeQueen", 0.5089482)]
slot 4,0: occupied=true icon-candidates [("BirdDragon", 0.79512626), ("DarkCrow", 0.5480482), ("MonochromeQueen", 0.5413743)]
slot 4,1: occupied=true icon-candidates [("BirdDragon", 0.782833), ("DarkCrow", 0.56845284), ("MonochromeQueen", 0.5242181)]
slot 4,2: occupied=true icon-candidates [("BirdDragon", 0.80406994), ("DarkCrow", 0.56181663), ("MonochromeQueen", 0.51130563)]
slot 4,3: occupied=true icon-candidates [("BirdDragon_Ice", 0.7051324), ("MonochromeQueen", 0.6375317), ("SkyDragon", 0.50585175)]
slot 4,4: occupied=true icon-candidates [("BirdDragon_Ice", 0.68843293), ("MonochromeQueen", 0.640483), ("SkyDragon", 0.4939759)]
slot 4,5: occupied=true icon-candidates [("BirdDragon_Ice", 0.71956736), ("MonochromeQueen", 0.638247), ("SkyDragon", 0.5003935)]
slot 0,0: species="ColorfulBird" score=1.000 gender=Some(Female) passives=["CoolTimeReduction_Up_2", "PAL_FullStomach_Down_3"] [ocr=128ms/2 hits=0 synth=0ms/0 textlib=0.4ms/2]
slot 0,1: species="Kirin" score=1.000 gender=Some(Male) passives=["PAL_CorporateSlave"] [ocr=107ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 0,2: species="SharkKid" score=1.000 gender=Some(Male) passives=["PAL_conceited"] [ocr=107ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 0,3: species="SharkKid" score=1.000 gender=Some(Female) passives=["SwimSpeed_up_1", "MoveSpeed_up_2", "CoolTimeReduction_Up_1"] [ocr=131ms/2 hits=0 synth=0ms/0 textlib=0.5ms/4]
slot 0,4: species="SharkKid" score=1.000 gender=Some(Female) passives=["CraftSpeed_up2"] [ocr=116ms/2 hits=0 synth=0ms/0 textlib=0.3ms/2]
slot 0,5: species="SharkKid" score=1.000 gender=Some(Female) passives=[] [ocr=101ms/2 hits=0 synth=0ms/0 textlib=0.3ms/2]
slot 1,0: species="SharkKid_Fire" score=0.909 gender=Some(Male) passives=["ElementResist_Fire_1_PAL"] [ocr=109ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 1,1: species="Werewolf" score=1.000 gender=Some(Female) passives=["ElementBoost_Fire_1_PAL"] [ocr=105ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 1,2: species="DarkCrow" score=1.000 gender=Some(Male) passives=["ElementBoost_Normal_1_PAL"] [ocr=109ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 1,3: species="DarkCrow" score=1.000 gender=Some(Female) passives=["AutoHPRegeneRate_Passive"] [ocr=116ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 1,4: species="DarkCrow" score=1.000 gender=Some(Male) passives=["CoolTimeReduction_Up_1"] [ocr=116ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 1,5: species="DarkCrow" score=1.000 gender=Some(Female) passives=["Test_PalEgg_HatchingSpeed_Up"] [ocr=114ms/2 hits=0 synth=0ms/0 textlib=0.3ms/2]
slot 2,0: species="FlameBuffalo" score=1.000 gender=Some(Male) passives=["ElementResist_Aqua_1_PAL"] [ocr=104ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 2,1: species="FlameBuffalo" score=1.000 gender=Some(Female) passives=["SwimSpeed_up_1"] [ocr=106ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 2,2: species="FluffyBird" score=1.000 gender=Some(Female) passives=["PAL_Sanity_Down_2"] [ocr=110ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 2,3: species="FluffyBird" score=1.000 gender=Some(Male) passives=["CoolTimeReduction_Up_1"] [ocr=112ms/2 hits=0 synth=0ms/0 textlib=0.3ms/2]
slot 2,4: species="LittleBriarRose" score=1.000 gender=Some(Female) passives=["Stamina_Up_2"] [ocr=111ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 2,5: species="LittleBriarRose" score=1.000 gender=Some(Male) passives=["CoolTimeReduction_Up_2"] [ocr=106ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 3,0: species="CuteButterfly" score=1.000 gender=Some(Male) passives=["ElementBoost_Dark_1_PAL"] [ocr=110ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 3,1: species="CuteButterfly" score=1.000 gender=Some(Female) passives=["ElementResist_Normal_1_PAL"] [ocr=106ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 3,2: species="CuteButterfly" score=1.000 gender=Some(Male) passives=["CraftSpeed_up2"] [ocr=121ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 3,3: species="CuteButterfly" score=1.000 gender=Some(Female) passives=["PAL_conceited"] [ocr=108ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 3,4: species="FairyDragon" score=1.000 gender=Some(Female) passives=["ElementBoost_Thunder_1_PAL"] [ocr=109ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 3,5: species="BirdDragon" score=1.000 gender=Some(Male) passives=["ElementBoost_Dragon_1_PAL", "PAL_Sanity_Down_1"] [ocr=117ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 4,0: species="BirdDragon" score=1.000 gender=Some(Female) passives=["ElementResist_Ice_1_PAL"] [ocr=105ms/2 hits=0 synth=0ms/0 textlib=0.3ms/2]
slot 4,1: species="BirdDragon" score=1.000 gender=Some(Male) passives=["ElementBoost_Ice_1_PAL"] [ocr=109ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 4,2: species="BirdDragon" score=1.000 gender=Some(Female) passives=["ReloadSpeedUp_Passive"] [ocr=116ms/2 hits=0 synth=0ms/0 textlib=0.3ms/2]
slot 4,3: species="BirdDragon_Ice" score=1.000 gender=Some(Female) passives=["WorkSuitabilityAddRank_MonsterFarm_1"] [ocr=121ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 4,4: species="BirdDragon_Ice" score=1.000 gender=Some(Male) passives=["AutoHPRegeneRate_Passive", "ElementBoost_Aqua_1_PAL", "PAL_Sanity_Down_2"] [ocr=112ms/2 hits=0 synth=0ms/0 textlib=0.5ms/4]
slot 4,5: species="BirdDragon_Ice" score=1.000 gender=Some(Female) passives=["ElementBoost_Dragon_1_PAL"] [ocr=111ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
